round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
44,1,0,76,8,84,0,4,8,0,0,0,130,298,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,73,8,81,0,3,8,1,1,0,131,302,4,0,1,4,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,73,8,81,0,3,8,0,0,0,133,303,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,73,8,81,0,4,8,0,0,0,139,299,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,73,8,81,0,5,8,0,0,0,142,311,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,73,8,81,1,6,8,1,0,0,157,304,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,72,8,80,0,6,8,1,0,0,163,308,4,0,1,4,2,0,0,1,10,1,40,50,41,0,80,0,72,0,58,0,57,0
51,0,3,72,11,83,0,3,7,1,0,0,169,316,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,72,11,83,0,3,7,1,0,0,178,313,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5,0,77,11,88,1,2,7,0,0,0,185,307,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,77,11,88,0,3,7,1,0,0,194,313,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,76,11,87,0,2,8,2,0,0,200,313,4,0,1,4,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,76,11,87,0,2,7,2,0,0,203,317,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,76,11,87,0,3,8,1,0,0,210,324,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,0,78,11,89,0,3,7,1,0,0,214,326,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,78,11,89,2,5,7,2,0,0,217,330,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,77,11,88,1,6,5,2,0,0,218,339,4,0,1,4,2,0,0,1,12,1,50,60,42,0,85,0,68,0,63,0,81,0
61,5,0,82,11,93,0,6,5,1,0,0,224,329,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,82,11,93,0,6,4,1,0,0,230,332,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,5,82,16,98,0,8,3,0,0,0,239,335,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,82,16,98,0,7,3,0,0,0,239,341,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,81,16,97,1,7,3,0,0,0,246,334,4,0,1,4,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,81,16,97,0,8,3,0,0,0,248,337,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,82,16,98,1,11,4,1,0,0,248,336,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,0,83,16,99,0,11,5,1,0,0,250,333,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,83,16,99,1,10,5,1,0,0,264,329,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,82,16,98,1,11,5,0,0,0,268,331,4,0,1,4,2,0,0,1,14,1,60,70,36,0,75,0,68,0,68,0,84,0
71,1,0,83,16,99,0,9,6,0,0,0,275,328,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,83,16,99,0,8,8,0,0,0,276,343,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,83,16,99,0,10,8,0,0,0,282,342,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,83,16,99,0,9,8,0,0,0,297,331,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,82,16,98,1,8,7,0,0,0,304,338,4,0,1,4,2,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,82,16,98,1,11,7,0,0,0,314,335,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
77,5,0,87,16,103,0,12,7,0,0,0,326,325,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,87,16,103,0,12,7,0,0,0,337,328,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,87,16,103,0,12,8,0,0,0,341,332,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,2,86,18,104,1,10,8,1,0,0,346,329,4,0,1,4,2,0,0,1,16,1,70,80,45,0,46,0,65,0,84,0,89,0
81,0,0,86,18,104,1,9,8,1,0,0,347,339,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,86,18,104,0,8,8,0,0,0,356,335,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,86,18,104,0,8,7,0,0,0,359,334,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,86,18,104,0,8,8,1,0,0,366,346,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,85,18,103,0,8,6,1,0,0,378,339,4,0,1,4,2,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,85,18,103,0,9,7,0,0,0,387,343,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,85,18,103,0,10,6,1,0,0,387,351,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,85,18,103,2,11,6,1,0,0,395,345,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,85,18,103,2,10,6,2,0,0,404,350,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,84,18,102,2,11,8,2,0,0,409,359,4,0,1,4,2,0,0,1,18,1,80,90,52,0,56,0,60,0,88,0,103,0
91,0,3,84,21,105,1,11,9,2,0,0,423,354,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,84,21,105,3,11,9,2,0,0,432,350,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,84,21,105,2,10,8,3,0,0,443,365,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
94,10,5,94,26,120,4,11,9,4,0,0,450,354,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,4,93,30,123,3,12,9,5,0,0,454,361,4,0,1,4,2,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,8,93,38,131,3,15,9,6,0,0,454,379,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,2,93,40,133,3,16,9,6,0,0,460,381,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,5,93,45,138,4,15,9,8,0,0,467,386,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3,5,96,50,146,5,16,8,7,0,0,478,382,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,6,95,56,151,4,15,8,6,0,0,480,384,4,0,1,4,2,0,0,1,20,1,90,100,67,0,56,0,59,0,90,0,112,0
101,0,6,95,62,157,3,16,8,6,0,0,487,382,4,0,0,4,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,8,95,70,165,4,14,7,7,0,0,500,381,4,0,0,4,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
103,5,4,100,74,174,3,14,8,7,0,0,514,369,4,0,0,4,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,6,100,80,180,3,14,7,6,0,0,525,370,4,0,0,4,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,3,99,83,182,2,15,7,5,0,0,531,384,4,0,1,4,2,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,3,99,86,185,3,15,7,5,0,0,539,389,4,0,0,4,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
107,4,2,103,88,191,5,16,7,4,0,0,552,388,4,0,0,4,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,9,103,97,200,3,16,9,4,0,0,557,387,4,0,0,4,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,3,103,100,203,2,15,9,4,0,0,557,394,4,0,0,4,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3,6,105,106,211,1,16,8,3,0,0,560,388,4,0,1,4,2,0,0,1,22,1,100,110,69,0,51,0,67,0,84,0,117,0
111,0,2,105,108,213,0,16,8,3,0,0,574,387,4,0,0,4,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,2,106,110,216,0,16,9,4,0,0,580,388,4,0,0,4,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,3,106,113,219,1,14,9,4,0,0,587,388,4,0,0,4,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,4,106,117,223,1,15,9,4,0,0,598,395,4,0,0,4,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
115,3,0,108,117,225,1,16,9,2,0,0,598,405,4,0,1,4,2,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
116,4,0,112,117,229,0,16,8,2,0,0,600,399,4,0,0,4,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,112,117,229,0,16,7,2,0,0,604,406,4,0,0,4,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,112,117,229,0,16,8,2,0,0,604,414,4,0,0,4,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,1,112,118,230,1,14,8,0,0,0,613,404,4,0,0,4,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6,0,117,118,235,1,13,8,0,0,0,618,406,4,0,1,4,2,0,0,1,24,1,110,120,76,0,42,0,67,0,99,0,122,0
121,0,0,117,118,235,2,13,8,0,0,0,623,411,4,0,0,4,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,117,118,235,2,11,8,0,0,0,623,411,4,0,0,4,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,117,118,235,2,12,8,0,0,0,637,402,4,0,0,4,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
124,7,0,124,118,242,5,11,8,0,0,0,637,406,4,0,0,4,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
125,8,0,131,118,249,5,9,8,1,0,0,642,404,4,0,1,4,2,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
126,9,0,140,118,258,4,10,9,2,0,0,649,408,4,0,0,4,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
127,10,2,150,120,270,5,11,10,3,0,0,660,401,4,0,0,4,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
128,6,0,156,120,276,5,12,9,3,0,0,669,403,4,0,0,4,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
129,4,0,160,120,280,4,12,8,3,0,0,669,423,4,0,0,4,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
130,10,0,169,120,289,6,10,10,3,0,0,669,421,4,0,1,4,2,0,0,1,26,1,120,130,76,0,53,0,63,0,104,0,125,0
131,11,0,180,120,300,4,8,9,2,0,0,669,417,4,0,0,4,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,0,181,120,301,4,8,10,2,0,0,669,438,4,0,0,4,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
133,13,0,194,120,314,4,10,11,1,0,0,674,423,4,0,0,4,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
134,9,0,203,120,323,5,10,13,1,0,0,674,428,4,0,0,4,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4,0,206,120,326,6,10,12,1,0,0,674,437,4,0,1,4,2,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
136,7,0,213,120,333,7,10,11,1,0,0,674,433,4,0,0,4,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
137,7,3,220,123,343,9,10,11,2,0,0,674,434,4,0,0,4,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
138,8,4,228,127,355,9,7,10,3,0,0,674,440,4,0,0,4,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
139,5,0,233,127,360,8,7,8,3,0,0,674,438,4,0,0,4,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,0,234,127,361,9,8,9,3,0,0,674,442,4,0,1,4,2,0,0,1,28,1,130,140,85,0,60,0,62,0,102,0,133,0
141,7,0,239,127,366,13,8,10,2,1,0,682,442,4,0,0,4,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
142,13,0,252,127,379,13,10,9,3,0,0,685,430,4,0,0,4,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
143,4,0,256,127,383,13,9,8,3,0,0,689,422,4,0,0,4,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2,5,258,132,390,12,8,9,2,0,0,689,431,4,0,0,4,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4,0,261,132,393,14,7,9,2,0,0,691,434,4,0,1,4,2,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0
146,8,0,269,132,401,15,6,9,3,0,0,691,426,4,0,0,4,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,269,132,401,15,6,9,2,0,0,691,432,4,0,0,4,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2,0,271,132,403,16,6,8,2,0,0,695,426,4,0,0,4,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,4,272,136,408,16,4,8,4,0,0,695,421,4,0,0,4,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,7,271,143,414,16,6,7,4,0,0,695,432,4,0,1,4,2,0,0,1,30,1,140,150,92,0,64,0,68,0,88,0,120,0
151,3,7,274,150,424,16,4,7,5,0,0,695,430,4,0,0,4,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,4,274,154,428,16,4,6,5,0,0,695,435,4,0,0,4,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
153,5,5,279,159,438,14,4,6,5,0,0,695,442,4,0,0,4,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,5,279,164,443,16,3,6,6,0,0,695,442,4,0,0,4,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,5,278,169,447,15,5,7,5,0,0,700,436,4,0,1,4,2,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,4,278,173,451,16,4,8,5,0,0,700,448,4,0,0,4,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,4,278,177,455,14,4,8,6,0,0,701,445,4,0,0,4,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,4,278,181,459,14,4,9,5,0,0,711,438,4,0,0,4,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
159,8,4,286,185,471,12,4,10,5,0,0,725,429,4,0,0,4,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5,3,290,188,478,12,3,10,4,0,0,725,434,4,0,1,4,2,0,0,1,32,1,150,160,97,0,50,0,66,0,94,0,127,0
161,9,5,299,193,492,11,3,10,5,0,0,725,428,4,0,0,4,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
162,5,4,304,197,501,9,2,11,4,0,0,731,425,4,0,0,4,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,1,304,198,502,8,2,10,4,0,0,737,424,4,0,0,4,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
164,4,6,308,204,512,8,4,9,5,0,0,737,423,4,0,0,4,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,8,307,212,519,8,1,9,6,0,0,737,430,4,0,1,4,2,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,2,307,214,521,8,3,10,6,0,0,737,440,4,0,0,4,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,3,307,217,524,10,3,10,6,0,0,737,440,4,0,0,4,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
168,5,8,312,225,537,12,3,9,7,0,0,737,442,4,0,0,4,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1,4,311,229,540,14,2,9,8,1,0,737,440,4,0,0,4,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
170,6,4,316,233,549,16,1,9,10,0,0,737,434,4,0,1,4,2,0,0,1,34,1,160,170,104,0,60,0,60,0,82,0,128,0
171,3,7,319,240,559,16,1,10,9,0,0,737,439,4,0,0,4,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,6,319,246,565,16,0,11,8,0,0,747,430,4,0,0,4,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,7,319,253,572,16,2,11,7,0,0,756,431,4,0,0,4,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,1,319,254,573,16,3,12,7,0,0,756,455,4,0,0,4,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,4,318,258,576,16,3,13,6,0,0,756,463,4,0,1,4,2,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,2,318,260,578,14,4,12,6,0,0,756,463,4,0,0,4,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,8,318,268,586,14,3,12,7,0,0,760,463,4,0,0,4,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
178,5,0,323,268,591,13,3,13,6,0,0,764,462,4,0,0,4,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
179,3,5,326,273,599,12,5,13,6,0,0,770,448,4,0,0,4,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
180,9,0,334,273,607,12,7,12,6,0,0,776,452,4,0,1,4,2,0,0,1,36,1,170,180,107,0,68,0,65,0,78,0,134,0
181,1,4,335,277,612,12,7,11,5,0,0,783,449,4,0,0,4,2,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
182,6,3,341,280,621,12,8,11,5,0,0,787,446,4,0,0,4,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
183,9,0,350,280,630,10,8,12,5,0,0,795,452,4,0,0,4,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2,2,352,282,634,11,8,12,4,0,0,805,447,4,0,0,4,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
185,7,1,358,283,641,10,8,11,4,0,0,810,444,4,0,1,4,2,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0
186,6,3,364,286,650,9,8,11,4,0,0,817,447,4,0,0,4,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
