round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
29,1,2,47,73,120,4,7,5,4,0,0,35,300,3,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,4,50,77,127,4,6,4,4,0,0,35,311,3,0,1,3,3,0,0,1,6,1,20,30,40,0,83,0,65,0,61,0,62,0
31,5,1,55,78,133,4,7,5,4,0,0,36,310,3,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,3,58,81,139,4,6,4,4,0,0,36,308,3,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,9,62,90,152,4,7,5,3,0,0,36,313,3,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,5,65,95,160,4,6,4,4,0,0,36,310,3,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,1,68,96,164,4,7,5,4,0,0,43,303,3,0,1,3,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,5,73,101,174,4,8,4,4,0,0,43,309,3,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,1,77,102,179,4,9,5,4,0,0,46,313,3,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,5,82,107,189,3,9,4,4,0,0,46,305,3,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,1,83,108,191,4,9,5,4,0,0,47,310,3,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,83,109,192,4,8,4,4,0,0,47,312,3,0,1,3,3,0,0,1,8,1,30,40,44,0,77,0,65,0,61,0,65,0
41,3,3,86,112,198,4,7,5,4,0,0,47,308,3,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,2,89,114,203,4,6,4,4,0,0,47,321,3,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,3,90,117,207,4,7,5,4,0,0,47,319,3,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,1,91,118,209,4,6,4,4,0,0,47,327,3,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,5,95,123,218,4,7,5,4,0,0,47,328,3,0,1,3,3,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2,96,125,221,4,6,4,4,0,0,47,334,3,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,4,101,129,230,4,7,5,4,0,0,47,328,3,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,2,102,131,233,4,6,4,4,0,0,47,338,3,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,3,103,134,237,4,7,5,4,0,0,47,337,3,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,2,105,136,241,4,6,5,5,0,0,47,337,3,0,1,3,3,0,0,1,10,1,40,50,41,0,95,0,65,0,61,0,75,0
51,1,3,106,139,245,4,7,5,4,0,0,47,343,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3,1,109,140,249,4,8,4,4,0,0,47,346,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,5,110,145,255,4,7,5,4,0,0,48,342,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,2,111,147,258,4,6,4,4,0,0,48,353,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,4,112,151,263,4,7,5,4,0,0,50,348,3,0,1,3,3,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,2,113,153,266,4,6,4,4,0,0,54,349,3,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4,4,117,157,274,4,7,5,4,0,0,54,361,3,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,4,121,161,282,4,6,4,4,0,0,57,351,3,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,1,124,162,286,5,6,5,4,0,0,57,359,3,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5,3,128,165,293,4,6,4,4,0,0,58,363,3,0,1,3,3,0,0,1,12,1,50,60,51,0,100,0,65,0,66,0,81,0
61,2,1,130,166,296,4,7,5,4,0,0,66,360,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4,3,134,169,303,4,6,4,4,0,0,68,366,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
63,4,7,138,176,314,4,7,5,5,0,0,77,359,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,2,139,178,317,4,6,5,6,0,0,81,363,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,2,139,180,319,4,7,6,6,0,0,81,375,3,0,1,3,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5,5,144,185,329,4,6,5,6,0,0,81,384,3,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
67,5,2,149,187,336,4,7,5,5,0,0,81,387,3,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3,3,152,190,342,4,6,5,4,0,0,83,382,3,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2,2,154,192,346,4,7,4,4,0,0,83,393,3,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5,1,158,193,351,4,6,5,4,0,0,83,395,3,0,1,3,3,0,0,1,14,1,60,70,63,0,109,0,67,0,74,0,82,0
71,3,5,161,198,359,4,7,4,4,0,0,83,391,3,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2,2,163,200,363,4,6,5,4,0,0,83,401,3,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4,1,167,201,368,4,7,4,4,0,0,83,401,3,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4,1,171,202,373,4,6,5,4,0,0,83,400,3,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,3,171,205,376,4,7,4,4,0,0,83,411,3,0,1,3,3,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
76,3,5,174,210,384,4,6,5,4,0,0,83,410,3,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,5,176,215,391,4,7,4,4,0,0,83,413,3,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
78,5,5,181,220,401,4,6,5,4,0,0,84,415,3,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,1,183,221,404,4,7,4,4,0,0,84,412,3,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,3,183,224,407,4,8,2,4,0,0,84,419,3,0,1,3,3,0,0,1,16,1,70,80,73,0,111,0,67,0,78,0,90,0
81,3,5,186,229,415,3,8,2,3,0,0,87,421,3,0,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,2,187,231,418,2,8,0,3,0,0,92,413,3,0,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
83,5,3,192,234,426,2,6,0,6,0,0,92,405,3,0,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,0,193,234,427,1,5,1,6,0,0,92,415,3,0,0,3,3,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4,5,196,239,435,2,5,2,6,0,0,92,406,3,0,1,3,3,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
86,5,0,199,239,438,4,4,2,6,1,0,96,397,3,0,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,0,200,239,439,5,4,2,6,0,0,96,405,3,0,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3,0,203,239,442,4,4,2,6,0,0,96,406,3,0,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,0,204,239,443,4,5,2,6,0,0,96,407,3,0,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,0,205,239,444,4,4,2,6,0,0,100,413,3,0,1,3,3,0,0,1,18,1,80,90,64,0,112,0,67,0,78,0,92,0
91,2,4,207,243,450,4,5,1,6,0,0,100,409,3,0,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,0,209,243,452,4,4,2,7,0,0,100,410,3,0,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3,2,212,245,457,4,5,3,7,0,0,107,412,3,0,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3,3,215,248,463,4,4,4,7,0,0,107,407,3,0,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,2,215,250,465,4,5,4,6,0,0,111,407,3,0,1,3,3,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
96,5,2,220,252,472,4,4,4,7,0,0,112,409,3,0,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2,3,222,255,477,4,5,4,6,0,0,112,412,3,0,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
98,5,3,227,258,485,4,4,4,7,0,0,112,409,3,0,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4,1,231,259,490,4,5,4,6,0,0,112,414,3,0,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
