round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
24,6,0,175,73,248,12,8,8,8,0,0,33,226,6,0,1,6,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,12,174,85,259,12,8,7,7,0,0,34,228,0,0,1,0,6,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0
26,11,0,183,85,268,11,8,7,7,0,0,34,230,6,0,2,6,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,14,181,99,280,11,8,7,10,0,0,34,242,0,0,2,0,6,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0
28,7,4,188,103,291,11,9,6,10,0,0,34,250,5,1,0,5,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
29,10,6,197,109,306,9,8,7,12,0,0,36,246,3,0,1,3,3,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8,9,204,118,322,8,8,6,10,0,0,36,253,3,1,1,3,3,0,0,1,38,1,20,30,68,0,41,0,37,0,46,0,61,0
31,0,18,202,136,338,8,8,4,8,0,0,36,254,0,0,2,0,6,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0
32,16,0,217,136,353,7,6,4,8,0,0,36,260,6,1,1,6,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,17,217,153,370,7,5,6,9,0,0,36,267,1,1,2,1,5,0,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0
34,16,0,231,153,384,8,4,6,9,0,0,38,269,6,1,2,6,0,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,15,230,168,398,8,4,6,11,0,0,39,260,0,1,1,0,6,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,13,232,181,413,8,3,8,10,0,0,39,268,1,0,2,1,5,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,12,230,193,423,8,3,9,8,0,0,42,269,0,1,2,0,6,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,12,229,205,434,8,3,11,8,0,0,42,275,0,1,1,0,6,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,23,227,228,455,8,3,12,9,0,0,42,271,0,1,2,0,6,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,0,234,228,462,7,3,11,9,0,0,42,270,5,1,2,5,1,0,0,2,55,1,30,40,66,0,59,0,51,0,46,0,48,0
41,0,8,233,236,469,7,3,10,10,0,0,42,278,0,1,1,0,6,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,8,235,244,479,7,4,8,9,0,0,42,295,1,0,1,1,5,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0
43,12,7,246,251,497,8,7,9,8,0,0,42,291,4,0,1,4,2,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3,12,249,263,512,7,7,7,9,0,0,42,289,1,1,0,1,5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,14,248,277,525,7,7,5,8,0,0,42,294,0,1,1,0,6,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,0,256,277,533,8,8,5,8,0,0,42,302,6,1,0,6,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,0,262,277,539,8,7,5,8,0,0,42,309,6,0,2,6,0,0,0,2,61,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,23,260,300,560,8,7,4,9,0,0,42,304,0,1,2,0,6,0,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0
49,24,0,284,300,584,11,8,4,9,0,0,46,288,6,1,0,6,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,10,285,310,595,11,8,5,9,0,0,46,286,1,1,1,1,5,0,0,1,64,1,40,50,69,0,45,0,44,0,58,0,70,0
51,0,16,285,326,611,11,8,9,10,0,0,46,289,0,0,0,0,6,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,14,283,340,623,11,8,10,11,0,0,46,297,0,0,2,0,6,0,0,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3,9,286,349,635,10,10,9,10,0,0,48,301,4,1,0,4,2,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7,10,292,359,651,9,11,8,11,0,0,57,291,2,1,1,2,4,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5,7,295,366,661,8,12,7,12,0,0,57,294,2,1,2,2,4,0,0,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,12,294,378,672,8,11,6,10,0,0,57,295,1,1,2,1,5,0,0,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,7,296,385,681,8,11,8,10,0,0,57,297,4,1,0,4,2,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
58,14,0,308,385,693,8,11,8,10,0,0,62,287,6,1,2,6,0,0,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5,7,312,392,704,8,12,8,10,0,0,62,288,2,0,1,2,4,1,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,15,311,407,718,8,12,9,8,0,0,64,294,0,1,1,0,6,0,0,1,75,1,50,60,74,0,62,0,36,0,57,0,65,0
61,0,7,311,414,725,8,11,10,8,0,0,74,285,1,1,0,1,5,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
62,13,0,322,414,736,7,9,10,8,0,0,78,284,6,0,2,6,0,0,0,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0
63,5,5,327,419,746,7,7,11,8,0,0,83,289,2,1,0,2,4,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0
64,15,0,341,419,760,5,5,11,8,0,0,87,287,6,0,1,6,0,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0
65,5,13,346,432,778,5,6,12,8,0,0,87,286,1,1,0,1,5,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5,0,350,432,782,4,6,12,8,0,0,92,303,6,0,1,6,0,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0
67,11,5,361,437,798,4,9,12,8,0,0,92,307,5,1,0,5,1,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
68,9,0,369,437,806,5,10,12,8,0,0,102,299,6,0,1,6,0,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0
69,9,13,378,450,828,7,10,11,11,0,0,102,296,2,1,0,2,4,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7,3,383,453,836,8,9,10,11,0,0,102,301,5,1,2,5,1,0,0,2,82,1,60,70,79,0,59,0,41,0,64,0,58,0
71,11,4,393,457,850,7,7,9,10,0,0,102,296,4,0,1,4,2,0,0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,11,391,468,859,7,7,12,9,0,0,107,296,0,1,2,0,6,0,0,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0
73,10,0,399,468,867,7,7,12,9,0,0,107,301,6,0,2,6,0,0,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,13,397,481,878,7,7,12,9,0,0,107,302,0,0,2,0,6,0,0,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0
75,12,0,408,481,889,7,7,12,9,0,0,107,320,6,1,1,6,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,15,408,496,904,7,7,12,8,0,0,107,320,0,0,0,0,6,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,19,406,515,921,7,7,7,9,0,0,112,310,0,1,2,0,6,0,0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0
78,17,2,423,517,940,8,4,6,8,0,0,112,309,4,1,0,4,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6,0,427,517,944,6,4,6,8,0,0,114,316,6,0,2,6,0,0,0,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,13,426,530,956,7,4,6,9,0,0,116,308,1,0,2,1,5,0,0,2,96,1,70,80,82,0,58,0,39,0,60,0,69,0
81,5,8,431,538,969,8,4,7,11,0,0,116,312,1,1,0,1,5,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
82,12,7,443,545,988,9,5,8,10,0,0,116,308,4,1,0,4,2,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
83,7,0,449,545,994,8,4,8,10,0,0,116,311,6,0,1,6,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0
84,14,2,462,547,1009,5,6,8,11,0,0,116,319,5,1,1,5,1,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0
85,12,1,470,548,1018,4,4,9,11,1,0,116,319,5,1,2,5,1,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0
86,12,0,476,548,1024,7,5,9,11,2,0,116,322,6,0,2,6,0,0,0,2,102,0,0,0,0,0,0,0,0,0,0,0,0,0
87,13,2,487,550,1037,8,4,9,11,0,0,117,333,4,0,2,4,2,0,0,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0
88,10,5,496,555,1051,7,6,8,10,0,0,117,333,3,1,1,3,3,0,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0
89,10,2,505,557,1062,6,4,7,10,0,0,117,335,5,1,1,5,1,0,0,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0
90,16,0,519,557,1076,4,8,7,10,0,0,117,353,6,1,2,6,0,0,0,2,108,1,80,90,90,0,70,0,41,0,69,0,83,0
91,0,12,518,569,1087,4,8,9,12,0,0,117,360,0,1,1,0,6,0,0,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0
92,9,1,527,570,1097,4,8,8,12,0,0,117,364,5,0,0,5,1,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,16,528,586,1114,3,8,7,10,0,0,120,365,1,0,1,1,5,0,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,9,528,595,1123,3,7,6,10,0,0,120,368,1,0,0,1,5,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0
95,14,0,542,595,1137,4,5,6,10,0,0,121,363,6,1,0,6,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0
96,11,0,551,595,1146,5,4,6,10,0,0,121,372,6,0,2,6,0,0,0,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0
97,16,2,565,597,1162,8,5,6,11,0,0,121,367,5,1,2,5,1,0,0,2,114,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3,11,566,608,1174,8,4,4,10,0,0,121,367,1,1,2,1,5,0,0,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0
99,17,0,583,608,1191,6,5,4,10,0,0,121,369,6,0,0,6,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0
