round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions
65,0,0,76,42,118,12,2,4,5,0,0,90,487,4,0,0,4,2,0,0
66,2,0,78,42,120,12,2,6,5,0,0,95,490,4,0,0,4,2,0,0
67,8,0,86,42,128,13,3,7,4,0,0,95,489,4,0,0,4,2,0,0
68,2,5,88,47,135,13,4,8,5,0,0,95,491,4,0,0,4,2,0,0
69,8,0,96,47,143,14,5,8,4,0,0,96,493,4,0,0,4,2,0,0
70,3,0,99,47,146,13,4,8,4,0,0,101,494,4,0,0,4,2,0,0
71,0,3,99,50,149,14,3,8,2,0,0,109,491,4,0,0,4,2,0,0
72,5,0,104,50,154,15,2,9,3,0,0,110,491,4,0,0,4,2,0,0
73,5,0,109,50,159,15,2,10,2,0,0,110,492,4,0,0,4,2,0,0
74,0,0,109,50,159,15,2,10,2,0,0,113,498,4,0,0,4,2,0,0
75,2,0,111,50,161,15,3,9,2,0,0,121,497,4,0,0,4,2,0,0
76,0,0,111,50,161,14,3,9,2,0,0,121,508,4,0,0,4,2,0,0
77,0,0,111,50,161,14,3,9,2,0,0,130,509,4,0,0,4,2,0,0
78,0,1,111,51,162,14,4,8,2,0,0,130,515,4,0,0,4,2,0,0
79,0,0,111,51,162,15,4,8,3,0,0,138,516,4,0,0,4,2,0,0
80,0,0,111,51,162,15,3,8,2,0,0,152,510,4,0,0,4,2,0,0
81,0,0,111,51,162,15,2,8,3,0,0,158,509,4,0,0,4,2,0,0
82,0,1,111,52,163,15,3,8,4,0,0,162,510,4,0,0,4,2,0,0
83,0,0,111,52,163,15,4,7,3,0,0,172,510,4,0,0,4,2,0,0
84,0,0,109,52,161,15,4,6,4,1,0,180,506,4,0,0,4,2,0,0
85,0,0,109,52,161,14,3,5,4,0,0,182,514,4,0,0,4,2,0,0
86,3,0,112,52,164,12,3,4,3,0,0,182,520,4,0,0,4,2,0,0
87,4,5,116,57,173,11,3,4,5,0,0,184,522,4,0,0,4,2,0,0
88,0,1,116,58,174,11,3,3,4,0,0,194,517,4,0,0,4,2,0,0
89,2,4,118,62,180,12,4,3,4,0,0,197,515,4,0,0,4,2,0,0
90,0,1,118,63,181,12,4,3,4,0,0,198,521,4,0,0,4,2,0,0
91,0,2,118,65,183,14,3,2,5,0,0,198,528,4,0,0,4,2,0,0
92,2,0,120,65,185,13,3,3,5,0,0,198,534,4,0,0,4,2,0,0
93,3,1,123,66,189,13,5,4,6,0,0,204,532,4,0,0,4,2,0,0
94,2,1,125,67,192,13,6,3,6,0,0,212,527,4,0,0,4,2,0,0
95,0,0,125,67,192,13,5,3,6,0,0,212,533,4,0,0,4,2,0,0
96,2,8,127,75,202,14,5,1,6,0,0,212,531,4,0,0,4,2,0,0
97,2,0,129,75,204,15,4,2,5,0,0,213,536,4,0,0,4,2,0,0
98,1,5,130,80,210,15,2,1,5,0,0,215,538,4,0,0,4,2,0,0
99,0,3,130,83,213,15,2,0,6,0,0,223,537,4,0,0,4,2,0,0
100,0,0,130,83,213,16,3,0,6,0,0,223,550,4,0,0,4,2,0,0
101,4,6,134,89,223,16,2,0,4,0,0,224,547,4,0,0,4,2,0,0
102,0,5,134,94,228,16,2,0,4,0,0,224,545,4,0,0,4,2,0,0
103,3,0,137,94,231,16,2,1,3,0,0,233,545,4,0,0,4,2,0,0
104,0,2,137,96,233,16,2,3,3,0,0,242,542,4,0,0,4,2,0,0
105,0,3,137,99,236,15,2,3,4,0,0,245,544,4,0,0,4,2,0,0
106,0,0,137,99,236,14,3,3,3,0,0,252,546,4,0,0,4,2,0,0
107,0,0,137,99,236,13,4,3,2,0,0,256,549,4,0,0,4,2,0,0
108,8,3,145,102,247,12,3,4,3,0,0,264,539,4,0,0,4,2,0,0
109,4,0,149,102,251,13,2,3,2,0,0,272,539,4,0,0,4,2,0,0
110,0,0,149,102,251,13,2,4,3,0,0,272,550,4,0,0,4,2,0,0
111,0,0,149,102,251,11,2,3,2,0,0,275,554,4,0,0,4,2,0,0
112,0,0,149,102,251,10,3,3,0,0,0,275,560,4,0,0,4,2,0,0
113,5,0,154,102,256,12,3,3,0,0,0,275,564,4,0,0,4,2,0,0
114,0,0,154,102,256,10,3,2,0,0,0,278,573,4,0,0,4,2,0,0
115,5,0,159,102,261,11,4,1,0,0,0,283,574,4,0,0,4,2,0,0
116,3,0,162,102,264,11,6,1,1,0,0,283,577,4,0,0,4,2,0,0
117,9,4,171,106,277,9,5,0,2,0,0,285,571,4,0,0,4,2,0,0
118,0,0,171,106,277,8,4,0,2,0,0,285,577,4,0,0,4,2,0,0
119,4,0,175,106,281,8,5,0,2,0,0,285,584,4,0,0,4,2,0,0
120,4,1,179,107,286,9,5,0,3,0,0,288,585,4,0,0,4,2,0,0
121,0,5,179,112,291,8,5,1,3,0,0,294,588,4,0,0,4,2,0,0
122,1,7,180,119,299,7,3,3,3,0,0,296,586,4,0,0,4,2,0,0
123,1,3,181,122,303,9,4,4,2,0,0,306,580,4,0,0,4,2,0,0
124,1,0,182,122,304,9,5,3,2,0,0,306,587,4,0,0,4,2,0,0
125,2,5,184,127,311,9,5,2,2,0,0,308,588,4,0,0,4,2,0,0
126,0,0,184,127,311,10,4,3,1,0,0,314,589,4,0,0,4,2,0,0
127,3,0,187,127,314,11,2,3,2,0,0,315,594,4,0,0,4,2,0,0
128,0,0,187,127,314,11,4,2,3,0,0,318,595,4,0,0,4,2,0,0
129,2,0,189,127,316,12,4,3,4,0,0,323,593,4,0,0,4,2,0,0
130,6,1,195,128,323,13,4,3,4,0,0,326,593,4,0,0,4,2,0,0
131,4,0,199,128,327,14,4,3,3,0,0,326,595,4,0,0,4,2,0,0
132,5,0,204,128,332,14,3,2,4,0,0,329,592,4,0,0,4,2,0,0
133,5,0,209,128,337,12,3,1,4,0,0,331,594,4,0,0,4,2,0,0
134,0,0,209,128,337,11,3,1,4,0,0,331,603,4,0,0,4,2,0,0
135,5,0,214,128,342,11,3,1,3,0,0,331,601,4,0,0,4,2,0,0
136,0,0,214,128,342,10,3,2,3,0,0,329,605,4,0,0,4,2,0,0
137,1,2,215,130,345,10,4,2,3,0,0,329,608,4,0,0,4,2,0,0
138,1,0,216,130,346,11,3,2,3,0,0,337,610,4,0,0,4,2,0,0
139,0,0,216,130,346,11,5,1,3,0,0,340,616,4,0,0,4,2,0,0
140,2,0,218,130,348,11,5,1,3,0,0,341,622,4,0,0,4,2,0,0
141,4,5,222,135,357,11,5,0,4,0,0,354,610,4,0,0,4,2,0,0
142,0,1,222,136,358,10,3,0,5,0,0,354,616,4,0,0,4,2,0,0
143,0,0,222,136,358,10,5,2,5,0,0,354,626,4,0,0,4,2,0,0
144,0,5,222,141,363,12,4,1,6,0,0,362,625,4,0,0,4,2,0,0
145,0,0,222,141,363,13,4,1,4,0,0,365,631,4,0,0,4,2,0,0
146,5,0,227,141,368,14,5,0,4,0,0,366,635,4,0,0,4,2,0,0
147,0,0,227,141,368,13,4,0,4,0,0,375,632,4,0,0,4,2,0,0
148,1,0,228,141,369,13,5,1,5,0,0,385,630,4,0,0,4,2,0,0
149,4,0,232,141,373,12,5,0,5,0,0,385,637,4,0,0,4,2,0,0
150,0,5,232,146,378,12,4,0,3,0,0,392,631,4,0,0,4,2,0,0
151,4,0,236,146,382,13,3,0,5,0,0,394,635,4,0,0,4,2,0,0
152,0,0,236,146,382,12,5,1,4,0,0,403,638,4,0,0,4,2,0,0
153,0,4,236,150,386,12,5,1,4,0,0,409,636,4,0,0,4,2,0,0
154,7,0,243,150,393,10,5,2,4,0,0,423,622,4,0,0,4,2,0,0
155,5,1,248,151,399,9,3,1,3,0,0,429,623,4,0,0,4,2,0,0
156,0,0,248,151,399,7,3,0,3,0,0,432,632,4,0,0,4,2,0,0
157,4,0,252,151,403,6,3,0,2,0,0,435,631,4,0,0,4,2,0,0
158,0,0,252,151,403,6,4,0,4,0,0,442,631,4,0,0,4,2,0,0
159,0,0,252,151,403,7,4,1,4,0,0,456,627,4,0,0,4,2,0,0
160,0,0,252,151,403,7,3,1,6,0,0,458,633,4,0,0,4,2,0,0
161,0,0,252,151,403,8,2,1,5,0,0,458,642,4,0,0,4,2,0,0
162,5,1,257,152,409,9,2,2,6,0,0,465,639,4,0,0,4,2,0,0
163,4,1,261,153,414,9,5,3,6,0,0,465,643,4,0,0,4,2,0,0
164,4,1,265,154,419,11,4,3,5,0,0,474,639,4,0,0,4,2,0,0
165,1,0,266,154,420,10,6,2,6,0,0,477,649,4,0,0,4,2,0,0
166,2,0,268,154,422,10,6,2,6,0,0,477,656,4,0,0,4,2,0,0
167,0,2,268,156,424,10,5,3,7,0,0,483,656,4,0,0,4,2,0,0
168,0,1,268,157,425,11,4,2,6,0,0,483,664,4,0,0,4,2,0,0
169,0,2,268,159,427,11,6,1,5,0,0,483,668,4,0,0,4,2,0,0
170,6,2,274,161,435,12,7,1,7,0,0,488,664,4,0,0,4,2,0,0
171,4,0,278,161,439,12,6,2,6,0,0,498,659,4,0,0,4,2,0,0
172,5,2,283,163,446,12,5,2,6,0,0,502,662,4,0,0,4,2,0,0
173,2,0,285,163,448,10,7,3,5,0,0,509,659,4,0,0,4,2,0,0
174,3,0,288,163,451,9,7,2,6,0,0,515,661,4,0,0,4,2,0,0
175,0,0,288,163,451,10,5,3,6,0,0,529,656,4,0,0,4,2,0,0
176,9,7,297,170,467,8,3,3,6,0,0,534,648,4,0,0,4,2,0,0
177,4,0,301,170,471,8,2,3,7,0,0,552,634,4,0,0,4,2,0,0
178,0,0,301,170,471,9,2,4,6,0,0,561,632,4,0,0,4,2,0,0
179,7,5,308,175,483,10,1,4,6,0,0,568,624,4,0,0,4,2,0,0
180,5,0,313,175,488,10,2,3,5,0,0,573,624,4,0,0,4,2,0,0
181,0,2,313,177,490,8,2,2,4,0,0,587,619,4,0,0,4,2,0,0
182,3,4,316,181,497,8,1,2,4,0,0,587,622,4,0,0,4,2,0,0
183,8,0,324,181,505,6,1,3,5,0,0,598,610,4,0,0,4,2,0,0
184,10,0,334,181,515,4,1,3,5,0,0,598,609,4,0,0,4,2,0,0
185,4,2,338,183,521,4,0,1,5,0,0,612,600,4,0,0,4,2,0,0
186,5,5,343,188,531,4,1,1,5,0,0,615,595,4,0,0,4,2,0,0
187,1,0,344,188,532,5,2,1,5,0,0,618,599,4,0,0,4,2,0,0
188,0,0,344,188,532,4,2,0,5,0,0,624,600,4,0,0,4,2,0,0
189,3,2,347,190,537,6,3,1,4,0,0,629,600,4,0,0,4,2,0,0
190,5,0,352,190,542,5,3,1,4,0,0,634,600,4,0,0,4,2,0,0
191,0,4,352,194,546,4,1,2,3,0,0,632,604,4,0,0,4,2,0,0
192,3,4,355,198,553,4,3,3,2,0,0,637,601,4,0,0,4,2,0,0
193,0,0,355,198,553,6,2,4,2,0,0,637,611,4,0,0,4,2,0,0
194,7,5,362,203,565,6,0,3,1,0,0,646,595,4,0,0,4,2,0,0
195,2,0,364,203,567,7,0,5,1,0,0,648,599,4,0,0,4,2,0,0
196,0,3,364,206,570,7,1,6,0,0,0,658,596,4,0,0,4,2,0,0
197,6,0,370,206,576,9,2,4,0,0,0,658,599,4,0,0,4,2,0,0
198,2,0,372,206,578,8,0,5,0,0,0,664,597,4,0,0,4,2,0,0
199,4,0,376,206,582,9,1,5,1,0,0,662,602,4,0,0,4,2,0,0
200,5,0,381,206,587,9,2,5,1,0,0,669,594,4,0,0,4,2,0,0
201,0,2,381,208,589,9,2,4,2,0,0,669,597,4,0,0,4,2,0,0
202,0,1,381,209,590,9,1,4,4,0,0,673,604,4,0,0,4,2,0,0
203,0,0,381,209,590,9,2,3,5,0,0,682,605,4,0,0,4,2,0,0
204,3,0,384,209,593,10,3,2,4,0,0,688,604,4,0,0,4,2,0,0
205,2,5,386,214,600,9,3,0,4,0,0,688,607,4,0,0,4,2,0,0
206,4,7,390,221,611,7,3,1,3,0,0,688,607,4,0,0,4,2,0,0
207,6,3,396,224,620,8,5,2,2,0,0,702,596,4,0,0,4,2,0,0
208,8,0,404,224,628,11,5,2,4,0,0,704,591,4,0,0,4,2,0,0
209,5,0,409,224,633,11,5,3,3,0,0,704,596,4,0,0,4,2,0,0
210,5,0,414,224,638,10,5,2,3,0,0,708,599,4,0,0,4,2,0,0
211,8,0,422,224,646,11,4,3,2,0,0,713,592,4,0,0,4,2,0,0
212,8,0,430,224,654,13,3,4,1,0,0,723,581,4,0,0,4,2,0,0
213,4,0,434,224,658,13,3,5,0,0,0,723,584,4,0,0,4,2,0,0
214,3,0,437,224,661,13,2,4,1,0,0,725,584,4,0,0,4,2,0,0
215,5,0,442,224,666,13,2,3,2,0,0,727,581,4,0,0,4,2,0,0
216,3,0,445,224,669,13,3,3,0,0,0,732,582,4,0,0,4,2,0,0
217,1,0,446,224,670,13,2,3,0,0,0,733,587,4,0,0,4,2,0,0
218,0,0,446,224,670,13,2,3,1,0,0,739,594,4,0,0,4,2,0,0
219,0,0,446,224,670,13,2,4,2,0,0,742,602,4,0,0,4,2,0,0
220,0,0,446,224,670,12,3,5,2,0,0,749,607,4,0,0,4,2,0,0
221,0,0,446,224,670,13,2,5,3,0,0,750,614,4,0,0,4,2,0,0
222,0,0,446,224,670,12,3,5,3,0,0,758,614,4,0,0,4,2,0,0
223,0,4,446,228,674,12,3,6,2,0,0,758,619,4,0,0,4,2,0,0
224,12,5,458,233,691,12,1,5,1,0,0,766,602,4,0,0,4,2,0,0
225,3,3,461,236,697,12,2,5,2,0,0,769,601,4,0,0,4,2,0,0
226,0,2,461,238,699,12,3,5,4,0,0,775,607,4,0,0,4,2,0,0
227,0,0,461,238,699,13,4,5,4,0,0,780,613,4,0,0,4,2,0,0
228,8,2,469,240,709,15,3,4,3,0,0,780,614,4,0,0,4,2,0,0
229,4,0,473,240,713,16,4,3,3,0,0,780,619,4,0,0,4,2,0,0
230,4,0,477,240,717,15,4,4,4,0,0,780,625,4,0,0,4,2,0,0
231,5,5,482,245,727,16,4,5,5,0,0,784,622,4,0,0,4,2,0,0
232,4,0,486,245,731,15,2,5,5,0,0,786,628,4,0,0,4,2,0,0
233,2,0,488,245,733,16,1,5,5,0,0,786,639,4,0,0,4,2,0,0
234,0,0,488,245,733,15,2,4,4,0,0,789,647,4,0,0,4,2,0,0
235,0,0,488,245,733,15,2,5,3,0,0,789,658,4,0,0,4,2,0,0
236,0,0,488,245,733,16,3,5,4,0,0,792,660,4,0,0,4,2,0,0
237,0,0,488,245,733,16,1,4,5,0,0,799,664,4,0,0,4,2,0,0
238,0,3,488,248,736,16,1,4,5,0,0,799,670,4,0,0,4,2,0,0
239,3,3,491,251,742,16,1,3,5,0,0,799,678,4,0,0,4,2,0,0
240,0,1,491,252,743,15,2,3,6,0,0,800,687,4,0,0,4,2,0,0
241,0,3,491,255,746,15,3,3,6,0,0,801,691,4,0,0,4,2,0,0
242,0,0,491,255,746,15,3,3,5,0,0,804,695,4,0,0,4,2,0,0
243,8,4,499,259,758,14,3,4,6,0,0,811,683,4,0,0,4,2,0,0
244,0,0,499,259,758,14,3,4,5,0,0,811,691,4,0,0,4,2,0,0
245,5,0,504,259,763,13,2,4,5,0,0,811,696,4,0,0,4,2,0,0
246,4,3,508,262,770,13,2,5,6,0,0,817,693,4,0,0,4,2,0,0
247,4,0,512,262,774,13,3,4,6,0,0,829,686,4,0,0,4,2,0,0
248,0,0,512,262,774,13,2,5,6,0,0,841,681,4,0,0,4,2,0,0
249,5,0,517,262,779,12,1,5,6,0,0,849,673,4,0,0,4,2,0,0
250,9,0,526,262,788,11,1,4,6,0,0,855,667,4,0,0,4,2,0,0
251,1,2,527,264,791,12,1,4,6,0,0,855,670,4,0,0,4,2,0,0
252,9,1,536,265,801,14,1,3,6,0,0,867,660,4,0,0,4,2,0,0
253,0,0,536,265,801,12,1,4,7,0,0,870,666,4,0,0,4,2,0,0
254,2,1,538,266,804,12,1,5,7,0,0,873,667,4,0,0,4,2,0,0
255,5,0,543,266,809,10,2,4,6,0,0,876,668,4,0,0,4,2,0,0
256,9,0,552,266,818,9,1,3,5,0,0,880,666,4,0,0,4,2,0,0
257,3,3,555,269,824,9,1,3,4,0,0,881,670,4,0,0,4,2,0,0
258,5,6,560,275,835,10,1,4,3,0,0,887,661,4,0,0,4,2,0,0
259,6,3,566,278,844,8,1,3,3,0,0,896,650,4,0,0,4,2,0,0
260,8,6,574,284,858,7,1,2,4,0,0,896,643,4,0,0,4,2,0,0
261,6,4,580,288,868,5,1,1,5,0,0,901,634,4,0,0,4,2,0,0
262,5,7,585,295,880,4,3,1,5,0,0,909,623,4,0,0,4,2,0,0
263,1,4,586,299,885,3,4,0,6,0,0,912,628,4,0,0,4,2,0,0
264,0,0,586,299,885,4,3,1,6,0,0,912,636,4,0,0,4,2,0,0
265,0,3,586,302,888,4,5,0,7,0,0,920,635,4,0,0,4,2,0,0
266,7,7,593,309,902,6,7,2,7,0,0,923,628,4,0,0,4,2,0,0
267,13,0,606,309,915,8,7,2,8,0,0,932,617,4,0,0,4,2,0,0
268,2,0,608,309,917,8,8,2,6,0,0,938,614,4,0,0,4,2,0,0
269,7,3,615,312,927,9,7,1,6,0,0,938,612,4,0,0,4,2,0,0
270,0,0,615,312,927,9,7,2,7,0,0,944,616,4,0,0,4,2,0,0
271,2,0,617,312,929,10,7,2,7,0,0,944,623,4,0,0,4,2,0,0
272,9,0,626,312,938,11,7,2,7,0,0,950,619,4,0,0,4,2,0,0
273,8,3,634,315,949,13,7,2,8,0,0,952,617,4,0,0,4,2,0,0
274,4,0,638,315,953,12,8,2,10,0,0,952,622,4,0,0,4,2,0,0
275,7,4,645,319,964,12,8,3,11,0,0,952,624,4,0,0,4,2,0,0
276,5,1,650,320,970,13,9,4,11,0,0,952,622,4,0,0,4,2,0,0
277,5,0,655,320,975,11,9,4,11,0,0,956,622,4,0,0,4,2,0,0
278,0,0,655,320,975,13,10,4,11,0,0,959,631,4,0,0,4,2,0,0
279,4,6,659,326,985,13,11,3,12,0,0,959,629,4,0,0,4,2,0,0
280,10,6,669,332,1001,14,12,3,14,0,0,964,620,4,0,0,4,2,0,0
281,12,0,681,332,1013,16,12,3,14,0,0,968,615,4,0,0,4,2,0,0
282,0,4,681,336,1017,16,12,1,14,0,0,973,614,4,0,0,4,2,0,0
283,5,9,686,345,1031,16,13,2,13,0,0,980,603,4,0,0,4,2,0,0
284,0,0,686,345,1031,15,12,2,14,0,0,982,609,4,0,0,4,2,0,0
285,7,1,693,346,1039,14,10,1,14,0,0,982,609,4,0,0,4,2,0,0
286,2,0,695,346,1041,13,11,1,14,0,0,985,613,4,0,0,4,2,0,0
287,0,0,695,346,1041,13,10,1,14,0,0,990,619,4,0,0,4,2,0,0
288,6,0,701,346,1047,10,9,2,14,0,0,990,620,4,0,0,4,2,0,0
289,7,0,708,346,1054,10,5,2,14,0,0,997,612,4,0,0,4,2,0,0
290,9,1,717,347,1064,12,6,1,15,0,0,1005,607,4,0,0,4,2,0,0
291,5,3,722,350,1072,12,8,1,16,0,0,1005,606,4,0,0,4,2,0,0
292,10,2,732,352,1084,8,8,2,16,0,0,1005,605,4,0,0,4,2,0,0
293,5,0,737,352,1089,11,9,2,16,0,0,1005,612,4,0,0,4,2,0,0
294,7,1,744,353,1097,13,11,2,16,0,0,1010,611,4,0,0,4,2,0,0
295,1,0,745,353,1098,13,12,2,16,0,0,1016,617,4,0,0,4,2,0,0
296,0,0,745,353,1098,13,12,1,16,0,0,1016,629,4,0,0,4,2,0,0
297,7,0,752,353,1105,14,12,1,16,0,0,1030,617,4,0,0,4,2,0,0
298,0,5,752,358,1110,14,11,1,16,0,0,1030,620,4,0,0,4,2,0,0
299,3,0,755,358,1113,15,11,0,16,0,0,1032,624,4,0,0,4,2,0,0
300,4,0,759,358,1117,15,10,2,16,0,0,1032,629,4,0,0,4,2,0,0
301,0,0,759,358,1117,15,11,2,16,0,0,1044,627,4,0,0,4,2,0,0
302,3,0,762,358,1120,16,11,2,16,0,0,1047,628,4,0,0,4,2,0,0
303,7,0,769,358,1127,16,13,2,16,0,0,1052,627,4,0,0,4,2,0,0
304,1,0,770,358,1128,16,14,2,16,0,0,1069,621,4,0,0,4,2,0,0
305,13,5,783,363,1146,15,16,2,14,0,0,1079,599,4,0,0,4,2,0,0
306,4,0,787,363,1150,15,16,2,14,0,0,1082,598,4,0,0,4,2,0,0
307,0,5,787,368,1155,16,15,4,14,0,0,1088,592,4,0,0,4,2,0,0
308,8,1,795,369,1164,14,14,4,13,0,0,1094,588,4,0,0,4,2,0,0
309,0,2,795,371,1166,15,14,4,15,0,0,1099,591,4,0,0,4,2,0,0
310,5,0,800,371,1171,13,14,4,13,0,0,1111,588,4,0,0,4,2,0,0
311,2,0,802,371,1173,11,14,4,14,0,0,1111,594,4,0,0,4,2,0,0
312,0,9,802,380,1182,11,14,6,14,0,0,1117,584,4,0,0,4,2,0,0
313,10,0,812,380,1192,10,16,5,14,0,0,1118,581,4,0,0,4,2,0,0
314,7,0,819,380,1199,9,15,6,14,0,0,1121,582,4,0,0,4,2,0,0
315,5,2,824,382,1206,9,16,6,15,0,0,1125,576,4,0,0,4,2,0,0
316,5,2,829,384,1213,8,16,5,14,0,0,1133,567,4,0,0,4,2,0,0
317,0,0,829,384,1213,9,15,5,15,0,0,1146,568,4,0,0,4,2,0,0
318,14,0,843,384,1227,8,14,7,15,0,0,1152,555,4,0,0,4,2,0,0
319,2,0,845,384,1229,8,15,7,14,0,0,1156,557,4,0,0,4,2,1,0
320,0,0,845,384,1229,8,15,8,14,0,0,1168,555,4,0,0,4,2,0,0
321,0,0,845,384,1229,8,15,8,14,0,0,1168,566,4,0,0,4,2,0,0
322,3,0,848,384,1232,9,14,7,14,0,0,1169,567,4,0,0,4,2,0,0
323,0,2,848,386,1234,8,15,7,13,0,0,1177,565,4,0,0,4,2,0,0
324,0,3,848,389,1237,8,15,7,12,0,0,1178,567,4,0,0,4,2,0,0
