round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
40,0,0,39,0,39,5,0,14,6,0,0,65,323,4,0,1,4,2,0,0,1,8,1,30,40,48,0,68,0,68,0,52,0,87,0
41,0,0,39,0,39,5,0,14,6,0,0,65,323,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,0,41,0,41,3,0,13,5,0,0,70,328,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,5,44,5,49,3,0,11,5,0,0,70,320,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,8,44,13,57,2,2,11,4,0,0,70,322,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,2,43,15,58,3,3,11,5,0,0,70,335,4,0,1,4,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,1,47,16,63,4,4,11,4,0,0,70,335,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,7,52,23,75,5,5,11,4,0,0,70,330,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5,5,55,28,83,6,4,11,4,1,0,70,338,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,5,59,33,92,7,5,12,3,0,0,75,337,4,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
50,10,0,68,33,101,6,6,12,2,0,0,79,332,4,0,1,4,2,0,0,1,10,1,40,50,44,0,70,0,65,0,66,0,87,0
51,8,0,76,33,109,5,5,12,2,0,0,79,347,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
52,6,0,82,33,115,3,3,12,3,0,0,79,351,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,82,33,115,1,2,12,2,0,0,79,355,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,82,33,115,0,2,12,3,0,0,82,361,4,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,5,84,38,122,1,1,12,4,0,0,85,350,4,0,1,4,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,5,84,43,127,1,0,12,5,0,0,85,347,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,3,84,46,130,0,0,12,6,0,0,90,353,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,4,84,50,134,0,0,13,5,0,0,93,349,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,84,50,134,0,2,13,6,0,0,93,356,4,0,0,4,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5,0,88,50,138,1,3,13,6,0,0,98,353,4,0,1,4,2,0,0,1,12,1,50,60,46,0,85,0,70,0,58,0,94,0
61,0,0,88,50,138,1,4,14,6,0,0,103,349,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4,0,92,50,142,2,7,13,5,0,0,105,354,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,0,93,50,143,2,8,14,6,0,0,115,353,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8,0,101,50,151,3,8,14,6,0,0,123,345,4,0,0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6,0,106,50,156,4,11,13,7,0,0,123,343,4,0,1,4,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5,0,109,50,159,4,11,13,7,1,0,123,360,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
67,4,0,113,50,163,3,11,13,7,0,0,123,358,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3,0,116,50,166,4,12,13,7,0,0,123,364,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,2,114,52,166,3,13,12,8,1,0,123,375,4,0,0,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,5,115,57,172,4,12,13,8,0,0,123,373,4,0,1,4,2,0,0,1,14,1,60,70,53,0,88,0,70,0,60,0,102,0
71,0,0,115,57,172,3,13,13,8,0,0,125,372,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,115,57,172,1,14,13,9,0,0,125,382,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5,2,120,59,179,0,15,13,11,0,0,125,375,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,3,120,62,182,0,14,14,11,0,0,125,372,4,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,119,62,181,0,15,13,11,0,0,127,374,4,0,1,4,2,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,119,62,181,0,15,13,10,0,0,127,374,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,119,62,181,1,14,14,10,0,0,127,374,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,119,62,181,1,12,14,11,0,0,127,384,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3,0,122,62,184,0,10,14,11,0,0,127,381,4,0,0,4,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,0,124,62,186,1,8,14,11,0,0,127,378,4,0,1,4,2,0,0,1,16,1,70,80,55,0,78,0,70,0,69,0,106,0
81,3,0,127,62,189,1,8,13,10,0,0,127,381,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,127,62,189,0,7,15,10,0,0,127,381,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,127,62,189,1,7,16,11,0,0,127,381,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,127,62,189,1,6,16,11,0,0,127,392,4,0,0,4,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,126,62,188,1,5,16,10,0,0,127,392,4,0,1,4,2,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4,0,130,62,192,2,5,16,10,0,0,127,388,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
87,3,0,133,62,195,4,3,15,9,0,0,127,395,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4,0,137,62,199,4,3,15,9,0,0,129,390,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,0,138,62,200,4,4,15,10,0,0,129,389,4,0,0,4,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3,0,138,62,200,4,4,15,10,1,0,129,397,4,0,1,4,2,0,0,1,18,1,80,90,52,0,82,0,70,0,82,0,111,0
91,5,0,143,62,205,4,5,16,10,0,0,129,395,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,0,147,62,209,4,1,16,10,0,0,129,400,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,0,149,62,211,2,0,16,10,0,0,134,407,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,149,62,211,3,0,16,12,0,0,135,406,4,0,0,4,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,148,62,210,2,0,15,13,0,0,135,406,4,0,1,4,2,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,148,62,210,1,0,15,13,0,0,138,411,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2,0,150,62,212,1,1,16,13,0,0,138,409,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,150,62,212,1,0,16,12,0,0,138,409,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,150,62,212,1,1,16,12,0,0,138,420,4,0,0,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
